x,y,score,sample,section
1,1,1,NA,RA2,Section1
2,1,2,NA,RA2,Section1
3,1,3,NA,RA2,Section1
4,1,4,NA,RA2,Section1
5,1,5,NA,RA2,Section1
6,1,6,NA,RA2,Section1
7,1,7,NA,RA2,Section1
8,1,8,NA,RA2,Section1
9,1,9,NA,RA2,Section1
10,1,10,NA,RA2,Section1
11,1,11,NA,RA2,Section1
12,1,12,NA,RA2,Section1
13,1,13,NA,RA2,Section1
14,1,14,NA,RA2,Section1
15,1,15,NA,RA2,Section1
16,1,16,NA,RA2,Section1
17,1,17,NA,RA2,Section1
18,1,18,NA,RA2,Section1
19,1,19,NA,RA2,Section1
20,1,20,NA,RA2,Section1
21,1,21,NA,RA2,Section1
22,1,22,NA,RA2,Section1
23,1,23,NA,RA2,Section1
24,1,24,NA,RA2,Section1
25,1,25,NA,RA2,Section1
26,1,26,NA,RA2,Section1
27,1,27,NA,RA2,Section1
28,1,28,NA,RA2,Section1
29,1,29,NA,RA2,Section1
30,1,30,NA,RA2,Section1
31,1,31,NA,RA2,Section1
32,1,32,NA,RA2,Section1
33,1,33,NA,RA2,Section1
34,1,34,NA,RA2,Section1
35,1,35,NA,RA2,Section1
36,1,36,NA,RA2,Section1
37,1,37,NA,RA2,Section1
38,1,38,NA,RA2,Section1
39,1,39,NA,RA2,Section1
40,1,40,NA,RA2,Section1
41,2,1,NA,RA2,Section1
42,2,2,NA,RA2,Section1
43,2,3,NA,RA2,Section1
44,2,4,NA,RA2,Section1
45,2,5,NA,RA2,Section1
46,2,6,NA,RA2,Section1
47,2,7,NA,RA2,Section1
48,2,8,NA,RA2,Section1
49,2,9,NA,RA2,Section1
50,2,10,NA,RA2,Section1
51,2,11,NA,RA2,Section1
52,2,12,NA,RA2,Section1
53,2,13,4.87832288968779,RA2,Section1
54,2,14,4.70458964980842,RA2,Section1
55,2,15,4.98916187536811,RA2,Section1
56,2,16,4.59823899839454,RA2,Section1
57,2,17,4.57365378069961,RA2,Section1
58,2,18,4.66304614772665,RA2,Section1
59,2,19,4.82272076682093,RA2,Section1
60,2,20,4.96433878586373,RA2,Section1
61,2,21,5.35305499081353,RA2,Section1
62,2,22,5.21950177911007,RA2,Section1
63,2,23,5.39952312292867,RA2,Section1
64,2,24,5.41259070982684,RA2,Section1
65,2,25,5.42565829672501,RA2,Section1
66,2,26,5.43872588362319,RA2,Section1
67,2,27,5.14952882952077,RA2,Section1
68,2,28,5.55412864184918,RA2,Section1
69,2,29,5.56450606796882,RA2,Section1
70,2,30,5.48291309449539,RA2,Section1
71,2,31,5.35125008144792,RA2,Section1
72,2,32,5.34162733205374,RA2,Section1
73,2,33,5.31557244647941,RA2,Section1
74,2,34,5.25434517634058,RA2,Section1
75,2,35,NA,RA2,Section1
76,2,36,NA,RA2,Section1
77,2,37,NA,RA2,Section1
78,2,38,NA,RA2,Section1
79,2,39,NA,RA2,Section1
80,2,40,NA,RA2,Section1
81,3,1,NA,RA2,Section1
82,3,2,NA,RA2,Section1
83,3,3,NA,RA2,Section1
84,3,4,NA,RA2,Section1
85,3,5,NA,RA2,Section1
86,3,6,5.3621400148333,RA2,Section1
87,3,7,4.89396842236862,RA2,Section1
88,3,8,4.77376942841365,RA2,Section1
89,3,9,4.89153669763626,RA2,Section1
90,3,10,5.23568212188829,RA2,Section1
91,3,11,5.09088820780206,RA2,Section1
92,3,12,4.60350489813149,RA2,Section1
93,3,13,4.59842375193792,RA2,Section1
94,3,14,4.57188812709287,RA2,Section1
95,3,15,4.52584843074635,RA2,Section1
96,3,16,4.66941362312283,RA2,Section1
97,3,17,4.83148156940542,RA2,Section1
98,3,18,5.01390254498458,RA2,Section1
99,3,19,5.09184311509236,RA2,Section1
100,3,20,5.23346113413517,RA2,Section1
101,3,21,5.46694777878935,RA2,Section1
102,3,22,5.31121891561522,RA2,Section1
103,3,23,4.7736951391077,RA2,Section1
104,3,24,5.15502301851412,RA2,Section1
105,3,25,5.34345264946363,RA2,Section1
106,3,26,5.1487132956737,RA2,Section1
