x,y,score,sample,section
1,1,1,NA,RA2,Section1
2,1,2,NA,RA2,Section1
3,1,3,NA,RA2,Section1
4,1,4,NA,RA2,Section1
5,1,5,NA,RA2,Section1
6,1,6,NA,RA2,Section1
7,1,7,NA,RA2,Section1
8,1,8,NA,RA2,Section1
9,1,9,NA,RA2,Section1
10,1,10,NA,RA2,Section1
11,1,11,NA,RA2,Section1
12,1,12,NA,RA2,Section1
13,1,13,NA,RA2,Section1
14,1,14,NA,RA2,Section1
15,1,15,NA,RA2,Section1
16,1,16,NA,RA2,Section1
17,1,17,NA,RA2,Section1
18,1,18,NA,RA2,Section1
19,1,19,NA,RA2,Section1
20,1,20,NA,RA2,Section1
21,1,21,NA,RA2,Section1
22,1,22,NA,RA2,Section1
23,1,23,NA,RA2,Section1
24,1,24,NA,RA2,Section1
25,1,25,NA,RA2,Section1
26,1,26,NA,RA2,Section1
27,1,27,NA,RA2,Section1
28,1,28,NA,RA2,Section1
29,1,29,NA,RA2,Section1
30,1,30,NA,RA2,Section1
31,1,31,NA,RA2,Section1
32,1,32,NA,RA2,Section1
33,1,33,NA,RA2,Section1
34,1,34,NA,RA2,Section1
35,1,35,NA,RA2,Section1
36,1,36,NA,RA2,Section1
37,1,37,NA,RA2,Section1
38,1,38,NA,RA2,Section1
39,1,39,NA,RA2,Section1
40,1,40,NA,RA2,Section1
41,2,1,NA,RA2,Section1
42,2,2,NA,RA2,Section1
43,2,3,NA,RA2,Section1
44,2,4,NA,RA2,Section1
45,2,5,NA,RA2,Section1
46,2,6,NA,RA2,Section1
47,2,7,NA,RA2,Section1
48,2,8,NA,RA2,Section1
49,2,9,NA,RA2,Section1
50,2,10,NA,RA2,Section1
51,2,11,NA,RA2,Section1
52,2,12,NA,RA2,Section1
53,2,13,0,RA2,Section1
54,2,14,0,RA2,Section1
55,2,15,0,RA2,Section1
56,2,16,0,RA2,Section1
57,2,17,0,RA2,Section1
58,2,18,0.467244952233952,RA2,Section1
59,2,19,0,RA2,Section1
60,2,20,0,RA2,Section1
61,2,21,0.399697953970191,RA2,Section1
62,2,22,0.656646638664962,RA2,Section1
63,2,23,0.647130020713155,RA2,Section1
64,2,24,0.447281043728201,RA2,Section1
65,2,25,0.247432066743247,RA2,Section1
66,2,26,0.0475830897582934,RA2,Section1
67,2,27,0,RA2,Section1
68,2,28,0,RA2,Section1
69,2,29,0,RA2,Section1
70,2,30,0,RA2,Section1
71,2,31,0,RA2,Section1
72,2,32,0,RA2,Section1
73,2,33,0,RA2,Section1
74,2,34,0,RA2,Section1
75,2,35,NA,RA2,Section1
76,2,36,NA,RA2,Section1
77,2,37,NA,RA2,Section1
78,2,38,NA,RA2,Section1
79,2,39,NA,RA2,Section1
80,2,40,NA,RA2,Section1
81,3,1,NA,RA2,Section1
82,3,2,NA,RA2,Section1
83,3,3,NA,RA2,Section1
84,3,4,NA,RA2,Section1
85,3,5,NA,RA2,Section1
86,3,6,0,RA2,Section1
87,3,7,0,RA2,Section1
88,3,8,0,RA2,Section1
89,3,9,0,RA2,Section1
90,3,10,0,RA2,Section1
91,3,11,0,RA2,Section1
92,3,12,0,RA2,Section1
93,3,13,0,RA2,Section1
94,3,14,0,RA2,Section1
95,3,15,0,RA2,Section1
96,3,16,0.654142933127631,RA2,Section1
97,3,17,0.68529259661049,RA2,Section1
98,3,18,0.0311496634823395,RA2,Section1
99,3,19,0,RA2,Section1
100,3,20,0,RA2,Section1
101,3,21,0,RA2,Section1
102,3,22,0.199848976985073,RA2,Section1
103,3,23,0.199848976985062,RA2,Section1
104,3,24,0.199848976985051,RA2,Section1
105,3,25,0.0951661795166203,RA2,Section1
106,3,26,0,RA2,Section1
107,3,27,0,RA2,Section1
108,3,28,0,RA2,Section1
109,3,29,0,RA2,Section1
110,3,30,0,RA2,Section1
111,3,31,0,RA2,Section1
112,3,32,0,RA2,Section1
113,3,33,0,RA2,Section1
114,3,34,0,RA2,Section1
115,3,35,0,RA2,Section1
116,3,36,NA,RA2,Section1
