image	x_y	x	y	value
RA2_1	30_12	30	12	Synovial stroma
RA2_1	19_19	19	19	Synovial stroma
RA2_1	16_11	16	11	Synovial stroma
RA2_1	31_19	31	19	Synovial stroma
RA2_1	21_15	21	15	Synovial stroma
RA2_1	22_13	22	13	Infiltrate
RA2_1	21_23	21	23	Synovial stroma
RA2_1	14_18	14	18	Synovial stroma
RA2_1	24_14	24	14	Infiltrate
RA2_1	31_12	31	12	Synovial stroma
RA2_1	28_18	28	18	Infiltrate
RA2_1	23_22	23	22	Synovial stroma
RA2_1	28_11	28	11	Synovial stroma
RA2_1	26_20	26	20	Infiltrate
RA2_1	22_19	22	19	Synovial stroma
RA2_1	18_19	18	19	Synovial stroma
RA2_1	13_19	13	19	Synovial stroma
RA2_1	25_22	25	22	Synovial stroma
RA2_1	30_16	30	16	Infiltrate
RA2_1	14_12	14	12	Synovial stroma
RA2_1	12_11	12	11	Synovial stroma
RA2_1	26_14	26	14	Synovial stroma
RA2_1	20_13	20	13	Infiltrate;Synovial stroma
RA2_1	22_8	22	8	Synovial stroma
RA2_1	29_21	29	21	Synovial stroma
RA2_1	18_14	18	14	Synovial stroma
RA2_1	31_15	31	15	Synovial stroma
RA2_1	21_10	21	10	Infiltrate;Synovial stroma
RA2_1	12_19	12	19	Infiltrate
RA2_1	29_23	29	23	Synovial stroma
RA2_1	14_21	14	21	Infiltrate
RA2_1	32_17	32	17	Synovial stroma
RA2_1	25_23	25	23	Synovial stroma
RA2_1	18_10	18	10	Synovial stroma
RA2_1	21_16	21	16	Synovial stroma
RA2_1	25_15	25	15	Synovial stroma
RA2_1	22_17	22	17	Synovial stroma
RA2_1	29_18	29	18	Infiltrate
RA2_1	16_15	16	15	Synovial stroma
RA2_1	20_16	20	16	Synovial stroma
RA2_1	28_10	28	10	Synovial stroma
RA2_1	23_10	23	10	Synovial stroma
RA2_1	28_14	28	14	Synovial stroma
RA2_1	14_9	14	9	Synovial stroma
RA2_1	13_17	13	17	Infiltrate
RA2_1	12_15	12	15	Synovial stroma
RA2_1	12_23	12	23	Synovial stroma
RA2_1	20_15	20	15	Synovial stroma
RA2_1	15_21	15	21	Infiltrate
RA2_1	24_17	24	17	Synovial stroma
RA2_1	12_18	12	18	Infiltrate
RA2_1	18_9	18	9	Synovial stroma
RA2_1	15_18	15	18	Infiltrate
RA2_1	24_22	24	22	Synovial stroma
RA2_1	31_20	31	20	Synovial stroma
RA2_1	30_15	30	15	Synovial stroma
RA2_1	30_13	30	13	Synovial stroma
RA2_1	19_24	19	24	Synovial stroma
RA2_1	20_23	20	23	Synovial stroma
RA2_1	23_11	23	11	Synovial stroma
RA2_1	15_16	15	16	Synovial stroma
RA2_1	18_20	18	20	Synovial stroma
RA2_1	16_22	16	22	Infiltrate
RA2_1	13_14	13	14	Infiltrate;Synovial stroma
RA2_1	15_13	15	13	Infiltrate;Synovial stroma
RA2_1	28_22	28	22	Synovial stroma
RA2_1	28_20	28	20	Infiltrate
RA2_1	24_9	24	9	Synovial stroma
RA2_1	29_11	29	11	Synovial stroma
RA2_1	26_15	26	15	Synovial stroma
RA2_1	30_19	30	19	Synovial stroma
RA2_1	13_10	13	10	Synovial stroma
RA2_1	12_20	12	20	Infiltrate;Synovial stroma
RA2_1	15_14	15	14	Infiltrate
RA2_1	27_11	27	11	Infiltrate
RA2_1	22_12	22	12	Synovial stroma
RA2_1	29_14	29	14	Synovial stroma
RA2_1	22_20	22	20	Infiltrate
RA2_1	21_21	21	21	Infiltrate
RA2_1	17_9	17	9	Synovial stroma
RA2_1	29_15	29	15	Synovial stroma
RA2_1	14_20	14	20	Infiltrate
RA2_1	23_9	23	9	Synovial stroma
RA2_1	27_9	27	9	Synovial stroma
RA2_1	12_9	12	9	Synovial stroma
RA2_1	19_22	19	22	Synovial stroma
RA2_1	27_23	27	23	Synovial stroma
RA2_1	30_18	30	18	Infiltrate
RA2_1	27_10	27	10	Synovial stroma
RA2_1	28_13	28	13	Synovial stroma
RA2_1	22_24	22	24	Synovial stroma
RA2_1	21_11	21	11	Synovial stroma
RA2_1	17_13	17	13	Synovial stroma
RA2_1	29_22	29	22	Synovial stroma
RA2_1	19_11	19	11	Synovial stroma
RA2_1	12_22	12	22	Synovial stroma
RA2_1	16_16	16	16	Synovial stroma
RA2_1	15_23	15	23	Infiltrate
RA2_1	25_17	25	17	Synovial stroma
RA2_1	13_11	13	11	Synovial stroma
RA2_1	25_10	25	10	Infiltrate
RA2_1	32_19	32	19	Synovial stroma
RA2_1	30_11	30	11	Synovial stroma
RA2_1	24_10	24	10	Synovial stroma
RA2_1	11_11	11	11	Synovial stroma
RA2_1	14_14	14	14	Infiltrate
RA2_1	16_19	16	19	Infiltrate
RA2_1	27_13	27	13	Synovial stroma
RA2_1	28_12	28	12	Synovial stroma
RA2_1	11_15	11	15	Synovial stroma
RA2_1	15_9	15	9	Synovial stroma
RA2_1	28_21	28	21	Synovial stroma
RA2_1	20_21	20	21	Infiltrate
RA2_1	28_17	28	17	Synovial stroma
RA2_1	17_22	17	22	Infiltrate
