"","infiltrate"
"X4_11_16","Inf1"
"X4_10_16","Inf1"
"X4_9_16","Inf1"
"X4_11_17","Inf1"
"X4_10_17","Inf1"
"X4_9_17","Inf1"
"X4_12_17","Inf1"
"X4_11_18","Inf1"
"X4_10_18","Inf1"
"X4_9_18","Inf1"
"X4_12_18","Inf1"
"X4_11_19","Inf1"
"X4_9_19","Inf1"
"X4_10_19","Inf1"
"X4_12_19","Inf1"
"X4_11_20","Inf1"
"X4_9_20","Inf1"
"X4_10_20","Inf1"
"X4_12_20","Inf1"
"X4_11_21","Inf1"
"X4_10_21","Inf1"
"X4_9_21","Inf1"
"X4_12_21","Inf1"
"X4_11_22","Inf1"
"X4_9_22","Inf1"
"X4_10_22","Inf1"
"X4_12_22","Inf1"
"X4_11_23","Inf1"
"X4_10_23","Inf1"
"X4_11_24","Inf1"
"X4_10_24","Inf1"
"X4_15_21","Inf2"
"X4_16_22","Inf2"
"X4_14_22","Inf2"
"X4_15_22","Inf2"
"X4_16_23","Inf2"
"X4_15_23","Inf2"
"X4_13_23","Inf2"
"X4_14_23","Inf2"
"X4_14_24","Inf2"
"X4_15_24","Inf2"
"X4_16_24","Inf2"
"X4_17_24","Inf2"
"X4_13_24","Inf2"
"X4_15_25","Inf2"
"X4_16_25","Inf2"
"X4_13_25","Inf2"
"X4_14_25","Inf2"
"X4_18_26","Inf2"
"X4_16_26","Inf2"
"X4_15_26","Inf2"
"X4_17_26","Inf2"
"X4_13_26","Inf2"
"X4_14_26","Inf2"
"X4_13_27","Inf2"
"X4_16_27","Inf2"
"X4_17_27","Inf2"
"X4_14_27","Inf2"
"X4_15_27","Inf2"
"X4_17_28","Inf2"
"X4_15_28","Inf2"
"X4_16_28","Inf2"
"X4_22_24","Inf3"
"X4_21_24","Inf3"
"X4_20_24","Inf3"
"X4_22_25","Inf3"
"X4_20_25","Inf3"
"X4_21_25","Inf3"
"X4_25_22","Inf4"
"X4_24_22","Inf4"
"X4_25_23","Inf4"
"X4_24_23","Inf4"
"X4_24_24","Inf4"
"X4_25_24","Inf4"
"X4_27_23","Inf4"
"X4_29_19","Inf5"
"X4_28_19","Inf5"
"X4_29_20","Inf5"
"X4_28_20","Inf5"
"X4_29_21","Inf5"
"X4_28_21","Inf5"
"X4_22_12","Inf6"
"X4_23_12","Inf6"
"X4_22_13","Inf6"
"X4_24_13","Inf6"
"X4_23_13","Inf6"
"X4_22_14","Inf6"
"X4_21_14","Inf6"
"X4_24_14","Inf6"
"X4_23_14","Inf6"
"X4_22_15","Inf6"
"X4_21_15","Inf6"
"X4_20_15","Inf6"
"X4_24_15","Inf6"
"X4_23_15","Inf6"
"X4_22_16","Inf6"
"X4_21_16","Inf6"
"X4_20_16","Inf6"
"X4_24_16","Inf6"
"X4_23_16","Inf6"
"X4_22_17","Inf6"
"X4_20_17","Inf6"
"X4_21_17","Inf6"
"X4_23_17","Inf6"
"X4_22_18","Inf6"
"X4_21_18","Inf6"
