pix_x	pix_y
29_49	4088.889	8084.867
48_54	7196.444	8983.186
35_55	5070.222	9162.85
29_41	4088.889	6647.558
32_50	4579.556	8264.531
19_37	2453.333	5928.903
44_56	6542.222	9342.513
24_34	3271.111	5389.912
22_48	2944	7905.204
29_35	4088.889	5569.575
36_40	5233.778	6467.894
32_44	4579.556	7186.549
39_55	5724.444	9162.85
19_27	2453.333	4132.265
38_56	5560.889	9342.513
19_47	2453.333	7725.54
22_34	2944	5389.912
29_33	4088.889	5210.248
45_57	6705.778	9522.177
25_35	3434.667	5569.575
32_40	4579.556	6467.894
48_40	7196.444	6467.894
36_36	5233.778	5749.239
21_47	2780.444	7725.54
42_40	6215.111	6467.894
30_52	4252.444	8623.858
30_34	4252.444	5389.912
25_31	3434.667	4850.92
31_51	4416	8444.195
26_50	3598.222	8264.531
32_56	4579.556	9342.513
31_37	4416	5928.903
24_30	3271.111	4671.257
32_36	4579.556	5749.239
32_38	4579.556	6108.566
33_35	4743.111	5569.575
36_58	5233.778	9701.841
33_37	4743.111	5928.903
22_30	2944	4671.257
27_51	3761.778	8444.195
24_44	3271.111	7186.549
16_36	1962.667	5749.239
42_56	6215.111	9342.513
30_50	4252.444	8264.531
23_33	3107.556	5210.248
26_46	3598.222	7545.876
20_32	2616.889	5030.584
28_52	3925.333	8623.858
33_57	4743.111	9522.177
43_53	6378.667	8803.522
46_50	6869.333	8264.531
40_36	5888	5749.239
30_46	4252.444	7545.876
28_46	3925.333	7545.876
40_34	5888	5389.912
35_37	5070.222	5928.903
43_55	6378.667	9162.85
40_56	5888	9342.513
32_42	4579.556	6827.221
32_46	4579.556	7545.876
36_34	5233.778	5389.912
43_49	6378.667	8084.867
17_37	2126.222	5928.903
41_57	6051.556	9522.177
22_38	2944	6108.566
23_47	3107.556	7725.54
32_54	4579.556	8983.186
47_49	7032.889	8084.867
37_57	5397.333	9522.177
26_38	3598.222	6108.566
26_44	3598.222	7186.549
19_39	2453.333	6288.23
30_32	4252.444	5030.584
31_31	4416	4850.92
48_44	7196.444	7186.549
33_55	4743.111	9162.85
20_38	2616.889	6108.566
22_40	2944	6467.894
43_39	6378.667	6288.23
28_40	3925.333	6467.894
31_39	4416	6288.23
33_45	4743.111	7366.212
16_38	1962.667	6108.566
32_48	4579.556	7905.204
22_42	2944	6827.221
25_49	3434.667	8084.867
37_55	5397.333	9162.85
31_35	4416	5569.575
34_48	4906.667	7905.204
25_45	3434.667	7366.212
39_57	5724.444	9522.177
34_32	4906.667	5030.584
35_51	5070.222	8444.195
48_46	7196.444	7545.876
24_48	3271.111	7905.204
47_53	7032.889	8803.522
31_41	4416	6647.558
48_50	7196.444	8264.531
19_29	2453.333	4491.593
36_32	5233.778	5030.584
19_41	2453.333	6647.558
47_51	7032.889	8444.195
47_47	7032.889	7725.54
36_52	5233.778	8623.858
16_30	1962.667	4671.257
24_32	3271.111	5030.584
32_52	4579.556	8623.858
23_35	3107.556	5569.575
30_36	4252.444	5749.239
18_40	2289.778	6467.894
46_56	6869.333	9342.513
35_39	5070.222	6288.23
45_41	6705.778	6647.558
25_37	3434.667	5928.903
31_43	4416	7006.885
27_45	3761.778	7366.212
30_54	4252.444	8983.186
34_56	4906.667	9342.513
30_48	4252.444	7905.204
26_42	3598.222	6827.221
25_47	3434.667	7725.54
36_38	5233.778	6108.566
30_40	4252.444	6467.894
20_34	2616.889	5389.912
29_39	4088.889	6288.23
40_52	5888	8623.858
39_53	5724.444	8803.522
19_43	2453.333	7006.885
34_38	4906.667	6108.566
23_31	3107.556	4850.92
49_53	7360	8803.522
19_45	2453.333	7366.212
35_47	5070.222	7725.54
39_45	5724.444	7366.212
23_41	3107.556	6647.558
45_53	6705.778	8803.522
29_31	4088.889	4850.92
28_48	3925.333	7905.204
18_32	2289.778	5030.584
43_57	6378.667	9522.177
47_55	7032.889	9162.85
20_46	2616.889	7545.876
