	V1	V2
X2_40_40	0.29880156005755865	0.5202321503456311
X2_26_46	0.4885232309148684	0.08786070979262206
X2_37_45	0.4797887465162063	0.41979686844757325
X2_40_38	0.22323788321720883	0.5244236743807704
X2_33_45	0.4692260723265669	0.2998549060339819
X2_48_58	1.0	0.7223923588565135
X2_38_46	0.5202112534837937	0.44768659703339964
X2_53_53	0.8242941506361738	0.882798621961367
X2_33_51	0.6959171028476199	0.2872803339285461
X2_26_44	0.41295955407451856	0.09205223382776495
X2_36_52	0.7416209469100252	0.3751410437211682
X2_23_41	0.2916920331717634	0.008383048070289334
X2_38_40	0.2935202229627407	0.4602611691388354
X2_25_43	0.3725370471069347	0.06416250524193856
X2_53_51	0.748730473795824	0.8869901459965099
X2_35_41	0.3233800557406852	0.36820893531106336
X2_52_52	0.78387164366859	0.8549088933755371
X2_50_38	0.24964456869130913	0.8242785804147523
X2_24_42	0.33211454013934727	0.03627277665611217
X2_39_55	0.8628884678127839	0.45881022947864736
X2_55_53	0.8295754877309953	0.9427696031681627
X2_54_48	0.6380256270827047	0.9232629226526257
X2_43_57	0.9490148188427732	0.5745606678570958
X2_51_45	0.5167581061799496	0.8395937368951465
X2_41_41	0.33922406702514607	0.5481218789314539
X2_38_54	0.8224659608451965	0.43092050089282097
X2_30_38	0.19683119774310853	0.22456876834679207
X2_27_43	0.3778183842017526	0.12413348644873778
X2_42_38	0.2285192203120303	0.5843946555875696
X2_42_40	0.3040828971523801	0.5802031315524268
X2_33_53	0.7714807796879697	0.28308880989340324
X2_42_44	0.4552102508330833	0.5718200834821374
X2_55_43	0.45175710352923915	0.9637272233438843
X2_32_38	0.20211253483792646	0.28453974955358774
X2_38_50	0.6713386071644933	0.4393035489631103
X2_52_54	0.8594353205089398	0.8507173693403942
X2_38_42	0.36908389980309053	0.45606964510368897
X2_35_55	0.852325793623141	0.338868267065056
X2_52_44	0.4816169363071836	0.8716749895161193
X2_32_42	0.35323988851862964	0.2761567014832984
X2_52_50	0.7083079668282366	0.8591004174106835
X2_45_51	0.7276051254165417	0.6471062211693237
X2_37_47	0.5553524233565597	0.41560534441243036
X2_54_50	0.7135893039230581	0.9190713986174792
X2_51_47	0.5923217830202994	0.83540221286
X2_33_47	0.5447897491669167	0.29566338199883546
X2_46_54	0.8435913092244789	0.6708044257200072
X2_41_39	0.2636603901847927	0.5523134029666004
X2_47_37	0.20394072462890378	0.7364178706221338
X2_40_58	0.9788746516207212	0.4825084340293273
X2_33_49	0.6203534260072701	0.291471857963689
X2_42_56	0.9085923118751893	0.5466709392712694
X2_52_56	0.9349989973492896	0.8465258453052513
X2_33_41	0.3180987186458637	0.3082379541042677
X2_54_40	0.3357709197213019	0.9400290187932008
X2_54_52	0.7891529807634079	0.9148798745823328
X2_46_56	0.9191549860648287	0.6666129016848608
X2_35_49	0.625634763102088	0.35144283917048824
X2_33_37	0.16697136496516407	0.316621002174557
X2_40_54	0.8277472979400144	0.49089148209961664
X2_41_37	0.1880967133444429	0.5565049270017433
X2_36_46	0.5149299163889722	0.3877156158266004
X2_41_43	0.4147877438654959	0.5439303548963075
X2_50_48	0.6274629528930653	0.8033209602390308
X2_47_47	0.58175910883066	0.7154602504464123
X2_50_42	0.4007719223720123	0.815895532344463
X2_27_41	0.3022547073614028	0.12832501048388067
X2_42_54	0.8330286350348395	0.5508624633064123
X2_44_54	0.8383099721296574	0.6108334445132115
X2_54_54	0.8647166576037577	0.9106883505471899
X2_38_36	0.14239286928203754	0.4686442172091212
X2_38_48	0.5957749303241435	0.4434950729982532
X2_53_49	0.6731667969554707	0.8911816700316564
X2_48_40	0.319926908436841	0.7601160751728138
X2_32_36	0.12654885799757665	0.2887312735887342
X2_36_38	0.21267520902756942	0.40448171196718263
X2_25_35	0.07028233974552833	0.08092860138251723
X2_32_48	0.5799309190396826	0.2635821293778662
X2_55_51	0.754011810890642	0.9469611272033056
X2_38_52	0.7469022840048432	0.4351120249279674
X2_51_49	0.6678854598606492	0.8312106888248607
X2_30_36	0.12126752090275872	0.2287602923819385
X2_28_38	0.19154986064828705	0.1645977871399964
X2_41_47	0.5659150975461991	0.5355473068260217
X2_51_51	0.7434491367010025	0.8270191647897143
X2_45_37	0.1986593875340823	0.6764468894153381
X2_41_35	0.11253303650409308	0.5606964510368897
X2_46_38	0.23908189450166972	0.704336618001161
X2_27_33	0.0	0.14509110662445934
X2_46_42	0.3902092481823729	0.6959535699308752
X2_47_39	0.2795044014692536	0.7322263465869874
X2_30_50	0.6502132587852145	0.19941962413592407
X2_37_55	0.8576071307179625	0.3988392482718517
X2_36_50	0.6660572700696754	0.37933256775631463
X2_28_34	0.04042250696758387	0.17298083521028218
X2_34_40	0.28295754877309776	0.3403192067252405
X2_46_40	0.31464557134201954	0.7001450939660145
X2_33_39	0.24253504180551388	0.31242947813941413
X2_45_47	0.5764777717358385	0.6554892692396166
X2_27_37	0.15112735368069963	0.13670805855417
X2_48_56	0.9244363231596502	0.72658388289166
X2_26_34	0.03514116987276594	0.11300985400349006
X2_52_42	0.4060532594668338	0.8758665135512587
X2_48_54	0.8488726463193004	0.7307754069268029
X2_25_37	0.1458460165858817	0.07673707734737079
X2_35_47	0.5500710862617382	0.35563436320563113
X2_47_49	0.6573227856710098	0.7112687264112658
X2_40_50	0.6766199442593148	0.499274530169906
X2_34_48	0.5852122561345041	0.32355311058466185
X2_48_52	0.773308969478947	0.7349669309619458
X2_32_40	0.2776762116782798	0.28034822551844485
X2_42_58	0.9841559887155391	0.542479415236123
X2_47_45	0.5061954319903101	0.7196517744815516
X2_36_36	0.1371115321872196	0.4086732360023255
X2_39_53	0.7873247909724306	0.46300175351379025
X2_37_43	0.4042250696758565	0.42398839248271614
X2_54_44	0.4868982734020051	0.931645970722915
X2_47_57	0.9595774930324126	0.6945026302706871
X2_36_40	0.28823888586791924	0.4002901879320362
X2_47_55	0.8840138161920628	0.69869415430583
X2_55_49	0.6784481340502921	0.9511526512384485
X2_47_51	0.7328864625113596	0.7070772023761194
X2_32_50	0.6554945958800324	0.2593906053427233
X2_43_35	0.11781437359891456	0.6206674322436854
X2_39_37	0.18281537624962496	0.4965339457949476
X2_45_57	0.9542961559375946	0.6345316490638879
X2_50_50	0.7030266297334187	0.7991294362038879
X2_37_41	0.3286613928355031	0.4281799165178626
X2_31_35	0.08612635102998922	0.2608415450029078
X2_56_52	0.7944343178582294	0.974850855789132
X2_48_38	0.2443632315964912	0.7643075992079567
X2_39_39	0.2583790530899748	0.49234242175980114
X2_43_37	0.19337805043926437	0.6164759082085425
X2_35_35	0.09668902521963219	0.38078350741649913
X2_23_37	0.14056467949106022	0.016766096140575115
X2_24_40	0.25655086329899746	0.040464300691258615
X2_27_39	0.226691030521053	0.13251653451902357
X2_39_43	0.4095064067706744	0.4839593736895118
X2_43_39	0.2689417272796142	0.612284384173396
X2_48_50	0.6977452926385936	0.7391584549970887
X2_27_45	0.453382061042106	0.11994196241359134
X2_40_42	0.37436523689790846	0.5160406263104846
X2_38_34	0.06682919244168417	0.4728357412442641
X2_36_54	0.817184623750375	0.3709495196860253
X2_34_50	0.6607759329748539	0.31936158654951896
X2_32_46	0.5043672421993293	0.26777365341300907
X2_34_44	0.43408490245380094	0.3319361586549512
X2_53_43	0.44647576643441766	0.9037562421370886
X2_44_56	0.9138736489700108	0.6066419204780651
X2_30_34	0.04570384406240535	0.2329518164170814
X2_31_43	0.3883810583913956	0.24407544886232913
X2_35_45	0.47450740942138836	0.3598258872407776
X2_39_35	0.1072516994092716	0.500725469830094
