V1	V2
X3_47_49	0.597371346008067	0.659151013309753
X3_37_55	0.788087266198453	0.354610263530812
X3_41_59	0.944463102818005	0.462369470274112
X3_29_45	0.40262865399194	0.143484691659296
X3_26_46	0.430760654462087	0.053879603371648
X3_31_51	0.62623045023653	0.188578611800775
X3_39_47	0.502740489671183	0.430454074977892
X3_42_42	0.329194611266217	0.528844846495716
X3_39_55	0.793568245540822	0.412882708517547
X3_40_48	0.541834448826073	0.457393876663719
X3_46_38	0.194742692016131	0.65417541969936
X3_48_50	0.636465305162954	0.686090814995577
X3_32_48	0.519910531456603	0.224304096716772
X3_50_58	0.932774040374959	0.72679189352197
X3_32_40	0.229082775586964	0.241875463177117
X3_51_57	0.899161060562438	0.758124536822883
X3_54_56	0.871029060092287	0.847729625110528
X3_29_43	0.329921715024529	0.147877533274382
X3_30_44	0.369015674179415	0.174817334960206
X3_42_54	0.765436245070667	0.502487796805198
X3_55_53	0.764709141312359	0.883455110026528
X3_42_38	0.183780733331396	0.537630529725888
X3_41_41	0.290100652111327	0.501905044809892
X3_36_46	0.458165551173931	0.34524182830533
X3_35_55	0.782606286856087	0.296337818544075
X3_38_36	0.10011183567925	0.425478481367502
X3_39_45	0.430033550703776	0.434846916592981
X3_52_58	0.938255019717328	0.785064338508707
X3_37_41	0.279138693426589	0.385360154836416
X3_55_51	0.692002202344948	0.887847951641614
X3_40_58	0.905369143663123	0.435429668588284
X3_42_44	0.401901550233625	0.524452004880629
X3_44_38	0.189261712673765	0.595902974712626
X3_56_44	0.440268405630203	0.932359119787787
X3_54_58	0.943735999059697	0.843336783495445
X3_35_37	0.128243836149405	0.335873393079854
X3_35_53	0.709899347888676	0.300730660159161
X3_38_54	0.754474286385932	0.385942906831723
X3_36_56	0.821700246010973	0.323277620229899
X3_36_52	0.676286368076155	0.332063303460071
X3_34_48	0.525391510798968	0.282576541703509
X3_33_53	0.704418368546307	0.242458215172423
X3_44_44	0.40738252957599	0.582724449867364
X3_34_50	0.598098449766379	0.278183700088423
X3_43_39	0.222874692486286	0.564570331411712
X3_25_43	0.31895975633979	0.0313326433009102
X3_54_42	0.362080487320426	0.878479516416135
X3_53_57	0.904642039904807	0.816396981809621
X3_43_41	0.295581631453697	0.560177489796626
X3_40_40	0.251006692956441	0.474965243124064
X3_47_41	0.306543590138432	0.676722379770101
X3_38_50	0.609060408451114	0.394728590061895
X3_47_59	0.960906040845114	0.637186805234322
X3_30_38	0.150894857277191	0.187995859805469
X3_40_46	0.469127509858666	0.461786718278805
X3_32_44	0.374496653521785	0.233089779946944
X3_40_50	0.614541387793484	0.453001035048633
X3_39_53	0.720861306573411	0.417275550132633
X3_38_52	0.681767347418521	0.390335748446809
X3_40_54	0.759955265728301	0.44421535181846
X3_39_43	0.357326611736369	0.439239758208068
X3_43_43	0.368288570421104	0.55578464818154
X3_40_38	0.17829975398903	0.47935808473915
X3_42_56	0.838143184038078	0.498094955190108
X3_39_49	0.575447428638594	0.426061233362809
X3_55_57	0.910123019247173	0.874669426796352
X3_38_56	0.827181225353343	0.381550065216636
X3_33_35	0.0500559178396252	0.281993789708203
X3_51_53	0.753747182627624	0.766910220053056
X3_33_49	0.559004490611489	0.251243898402596
X3_35_51	0.637192408921269	0.305123501774247
X3_32_50	0.592617470424013	0.219911255101685
X3_40_42	0.323713631923845	0.470572401508978
X3_41_57	0.871756163850598	0.466762311889198
X3_30_50	0.587136491081644	0.161638810114948
X3_51_51	0.681040243660213	0.771303061668139
X3_57_55	0.842897059622135	0.93733471339818
X3_53_55	0.8319351009374	0.820789823424704
X3_24_40	0.207158858217493	0.00878568323017248
X3_44_56	0.843624163380447	0.556367400176846
X3_41_37	0.14468677417651	0.510690728040064
X3_57_53	0.770190120654725	0.941727555013262
X3_24_36	0.0617449802826755	0.017571366460345
X3_49_57	0.893680081220072	0.699852091836146
X3_48_54	0.781879183097772	0.677305131765404
X3_32_42	0.301789714554374	0.237482621562034
X3_35_43	0.34636465305163	0.322694868234596
X3_31_43	0.335402694366895	0.20614997826112
X3_36_50	0.603579429108748	0.336456145075157
X3_26_36	0.0672259596250449	0.0758438114470827
X3_57_51	0.697483181687314	0.946120396628352
X3_50_46	0.496532406570505	0.753148943212487
X3_25_41	0.246252817372383	0.0357254849159965
X3_53_51	0.686521223002579	0.829575506654876
X3_50_56	0.860067101407552	0.73118473513706
X3_38_40	0.245525713614072	0.41669279813733
X3_32_36	0.0836688976521458	0.250661146407289
X3_56_54	0.803803100467245	0.910394911712352
X3_52_56	0.865548080749917	0.78945718012379
X3_55_55	0.83741608027977	0.879062268411442
X3_44_40	0.261968651641176	0.59151013309754
X3_25_39	0.173545878404973	0.0401183265310827
X3_25_35	0.0281320004701548	0.0489040097612587
X3_48_56	0.854586122065182	0.672912290150322
X3_46_58	0.921812081690224	0.610247003548494
X3_33_41	0.268176734741854	0.26881526486294
X3_35_49	0.564485469953858	0.309516343389333
X3_29_39	0.184507837089711	0.156663216504555
X3_37_43	0.351845632393999	0.38096731322133
X3_57_49	0.624776242719911	0.950513238243438
X3_35_39	0.200950775116816	0.331480551464768
X3_28_38	0.145413877934821	0.129723414818731
X3_54_54	0.79832212112488	0.852122466725618
X3_32_52	0.665324409391417	0.215518413486599
X3_36_44	0.38545861220652	0.34963466992042
X3_27_45	0.397147674649567	0.0852122466725618
X3_34_42	0.307270693896744	0.295755066548768
X3_43_59	0.949944082160375	0.520641915260846
