p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.374692711,0.905,0.04,0,b_cells,MS4A1
0,2.190814918,0.607,0.035,0,b_cells,BANK1
5.74954221598069e-317,1.997112469,0.499,0.026,1.73682171260345e-312,b_cells,CD79A
3.03E-303,1.876518374,0.424,0.01,9.14E-299,b_cells,CD22
1.35E-249,1.773437113,0.328,0.004,4.08E-245,b_cells,IGHD
1.15E-243,0.96869155,0.993,0.858,3.49E-239,b_cells,CD74
6.28E-240,1.639116463,0.396,0.026,1.90E-235,b_cells,RALGPS2
2.39E-236,1.813686618,0.613,0.112,7.22E-232,b_cells,POU2F2
1.25E-232,1.780123219,0.361,0.021,3.79E-228,b_cells,LINC00926
5.47E-199,1.399784092,0.262,0.003,1.65E-194,b_cells,PAX5
4.40E-198,1.333061292,0.283,0.007,1.33E-193,b_cells,CD19
1.53E-192,1.517654876,0.385,0.033,4.63E-188,b_cells,CD79B
5.72E-181,0.805140478,0.969,0.899,1.73E-176,b_cells,RPLP2
2.89E-178,1.45639234,0.604,0.174,8.72E-174,b_cells,CD37
1.69E-162,0.838722723,0.963,0.833,5.12E-158,b_cells,RPS29
1.06E-160,0.82966209,0.943,0.799,3.20E-156,b_cells,RPS8
8.53E-154,1.568116354,0.404,0.064,2.58E-149,b_cells,ADAM28
3.13E-150,1.205389882,0.229,0.007,9.45E-146,b_cells,CTA-250D10.23
1.14E-149,1.132160961,0.211,0.003,3.45E-145,b_cells,FCRL1
1.75E-149,0.726408823,0.958,0.849,5.29E-145,b_cells,RPS11
3.32E-145,1.195041384,0.206,0.004,1.00E-140,b_cells,FAM129C
2.35E-141,1.40271683,0.426,0.105,7.11E-137,b_cells,MEF2C
2.81E-135,1.30079386,0.231,0.012,8.49E-131,b_cells,BCL11A
2.45E-130,1.108645039,0.738,0.339,7.41E-126,b_cells,CD52
3.87E-130,0.713086496,0.958,0.841,1.17E-125,b_cells,RPL11
5.47E-129,0.80855488,0.87,0.725,1.65E-124,b_cells,RPL32
7.50E-129,-1.209236033,0.939,0.976,2.27E-124,b_cells,FN1
1.75E-126,0.683680036,0.974,0.906,5.29E-122,b_cells,RPL13
4.00E-124,1.071323478,0.194,0.005,1.21E-119,b_cells,TLR10
3.17E-123,0.764810481,0.916,0.782,9.57E-119,b_cells,RPL13A
8.09E-119,0.740517525,0.945,0.83,2.44E-114,b_cells,RPL34
2.00E-118,1.09223588,0.165,0.003,6.04E-114,b_cells,RP11-693J15.5
6.26E-118,1.379235259,0.222,0.022,1.89E-113,b_cells,FCRL5
2.56E-111,0.708192894,0.949,0.86,7.75E-107,b_cells,RPS6
