V1	V2	V3
X1_29_49	4.50554785199056	-8.70967456563585	-24.2682528879659
X1_35_55	11.1330873659137	7.40026166988776	-16.560953997073
X1_29_41	5.74189195378662	17.0165803897052	-32.391388023098
X1_24_34	9.06711487584426	-6.06820945007046	-24.2362357413702
X1_32_44	9.22473020605631	-11.7368865164405	-18.1901223706323
X1_39_55	8.08566170121459	-15.5343555925252	-17.6161615361884
X1_19_27	15.5665307333763	-10.3431536762419	-12.8036306434631
X1_22_34	5.81368656866488	17.7118912320903	-32.616509714505
X1_32_40	-1.10914753322258	-6.95561348393496	-32.1657848853624
X1_31_51	5.6654602354315	4.07968325102802	-25.0793672023127
X1_32_38	4.16596419692094	15.1090342478916	-30.9455733823303
X1_33_35	1.07231116209212	-7.30444656467043	-30.4707380379534
X1_33_37	5.47077162455586	16.834561875903	-31.6867135798081
X1_30_50	7.53338413557071	12.9208445627096	-25.532785964079
X1_23_33	5.02144453102731	16.6856362846375	-31.3389597417229
X1_26_46	5.06713314257591	17.5113450356483	-33.4506702086202
X1_30_46	5.15378994108688	7.35671538040565	-27.9161333652893
X1_28_46	9.4177383043195	-5.82586679976536	-22.6202704792572
X1_35_37	5.21375841674741	15.8651910546909	-32.2754702261648
X1_32_42	6.93177637092584	13.390061344422	-28.5559689107154
X1_32_46	8.7356947089807	13.5817270916484	-26.6864553948969
X1_36_34	8.2299513539694	13.1773851618259	-27.9190185058898
X1_26_44	9.43883069978695	-4.15952522070302	-20.4409431311966
X1_31_39	6.34598663659225	15.6328520940415	-31.5502657615427
X1_47_53	-1.35101468835352	-5.45996417077448	-32.8813603931807
X1_31_41	0.844188741118826	6.05433957805404	-34.2886299779869
X1_24_32	6.82235747247815	12.6675126657449	-27.7221730383133
X1_32_52	0.965116587534355	14.3632370009462	-23.7021734498333
X1_31_43	-1.43696632369599	-12.7828257245019	-28.9848683813216
X1_27_45	6.04222166782829	15.0943497119494	-31.2711373309843
X1_34_56	5.43087998853949	17.5758788132824	-31.7714646897832
X1_30_48	7.5211335407922	6.04521796638131	-25.1961004763558
X1_25_47	9.57166821355087	13.8888947387817	-25.4155773421725
X1_36_38	10.3740459032358	-4.69929853287436	-21.8086359083522
X1_30_40	5.26424522630164	16.345612696462	-30.7717997650093
X1_20_34	3.83325870246707	8.20403901925334	-31.334342374368
X1_34_38	4.88428227891738	14.8337299175507	-30.4879189634083
X1_45_53	9.36827180600365	-5.62360895607718	-23.688471782773
X1_28_48	2.17515573960868	12.7324976643999	-20.6085334373249
X1_31_47	2.60280160195756	12.8140870237535	-22.3783450858781
