gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	cluster_1	background
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.045	0.02
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.016	0.007
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.045	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.016	0.007
CD8A	P01732	True	CD8A_HUMAN	CD8 receptor	CPI-CS0A66DB1CA	0.045	0.008
CD8B	P10966	True	CD8B_HUMAN	CD8 receptor	CPI-CS0A66DB1CA	0.045	0.008
FLT1	P17948	True	VGFR1_HUMAN	FLT1 complex	CPI-CS067298D94	0.06	0.032
FLT1	P17948	True	VGFR1_HUMAN	FLT1 complex	CPI-CS073D36B1D	0.06	0.032
FLT1	P17948	True	VGFR1_HUMAN	FLT1 complex	CPI-CS077F1340A	0.06	0.032
KDR	P35968	True	VGFR2_HUMAN	FLT1 complex	CPI-CS067298D94	0.06	0.032
KDR	P35968	True	VGFR2_HUMAN	FLT1 complex	CPI-CS073D36B1D	0.06	0.032
KDR	P35968	True	VGFR2_HUMAN	FLT1 complex	CPI-CS077F1340A	0.06	0.032
KDR	P35968	True	VGFR2_HUMAN	PlexinA1_complex1	CPI-CS0C57A3081	0.092	0.037
IL10RA	Q13651	True	I10R1_HUMAN	IL10 receptor	CPI-CS04CBDE052	0.213	0.071
IL10RB	Q08334	True	I10R2_HUMAN	IL10 receptor	CPI-CS04CBDE052	0.213	0.071
IL2RB	P14784	True	IL2RB_HUMAN	IL15 receptor	CPI-CS06E556972	0.102	0.015
IL2RG	P31785	True	IL2RG_HUMAN	IL15 receptor	CPI-CS06E556972	0.102	0.015
PDGFRA	P16234	True	PGFRA_HUMAN	PDGFR complex	CPI-CS0BAF97962	0.637	0.31
PDGFRB	P09619	True	PGFRB_HUMAN	PDGFR complex	CPI-CS0BAF97962	0.637	0.31
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex1	CPI-CS0C57A3081	0.092	0.037
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.168	0.05
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex3	CPI-CS0E5D1ECCE	0.168	0.05
TREM2	Q9NZC2	True	TREM2_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.168	0.05
TYROBP	O43914	True	TYOBP_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.168	0.05
NRP1	O14786	True	NRP1_HUMAN	PlexinA1_complex3	CPI-CS0E5D1ECCE	0.168	0.05
NRP1	O14786	True	NRP1_HUMAN	PlexinA2_complex1	CPI-CS0D238C22B	0.049	0.032
NRP1	O14786	True	NRP1_HUMAN	PlexinA3_complex1	CPI-CS0AA769F5B	0.105	0.031
NRP1	O14786	True	NRP1_HUMAN	PlexinA4_complex1	CPI-CS0AB19226A	0.037	0.008
PLXNA2	O75051	True	PLXA2_HUMAN	PlexinA2_complex1	CPI-CS0D238C22B	0.049	0.032
PLXNA3	P51805	True	PLXA3_HUMAN	PlexinA3_complex1	CPI-CS0AA769F5B	0.105	0.031
PLXNA4	Q9HCM2	True	PLXA4_HUMAN	PlexinA4_complex1	CPI-CS0AB19226A	0.037	0.008
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.035	0.011
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.035	0.011
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.035	0.011
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.194	0.09
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.049	0.016
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.009	0.002
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.194	0.09
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.194	0.09
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC07ECBFCA7	3.324	1.208
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC067433F6B	12.694	3.709
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0B6F1A278	1.566	0.587
FN1	P02751	False	FINC_HUMAN		CPI-SC0D19BAF15	59.752	20.135
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0F516B854	0.697	0.242
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC011F01833	8.243	3.577
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC0FA79E269	1.12	0.437
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC02B111AB0	1.312	0.492
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0CE851065	3.591	1.565
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC07375C073	2.933	1.303
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC041DEF0FB	0.376	0.161
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC0C907A888	0.074	0.034
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC08B1D5269	0.464	0.128
COL8A1	P27658	False	CO8A1_HUMAN		CPI-SC0F8101D41	0.373	0.177
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC08E75294D	0.234	0.11
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC0017F527E	1.219	0.574
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC0A3F146C2	0.012	0.003
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC008F4294F	0.017	0.006
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC015980AEB	1.555	0.659
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC0F94B2CF9	0.681	0.204
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC0725E3A76	0.02	0.01
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC0C9CBDD21	0.06	0.023
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC02131C05A	0.576	0.253
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC0F7E26271	3.324	1.208
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC0A8902C85	12.694	3.709
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0A0532ADC	1.566	0.587
FN1	P02751	False	FINC_HUMAN		CPI-SC0CFF5E19D	59.752	20.135
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0DF641DAA	0.697	0.242
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC0681D30FE	8.243	3.577
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC02017BE74	1.12	0.437
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC04085F9F9	1.312	0.492
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0A54B5323	3.591	1.565
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC0ECFACED2	2.933	1.303
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC0092846B0	0.376	0.161
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC08AF9CA91	0.074	0.034
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC07E958BDE	0.464	0.128
COL8A1	P27658	False	CO8A1_HUMAN		CPI-SC08CC68F11	0.373	0.177
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC03BFF1D95	0.234	0.11
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC03ADD2063	1.219	0.574
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC0674C647E	0.012	0.003
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC03D71E025	0.017	0.006
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC060984F83	1.555	0.659
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC0014D5A6E	0.681	0.204
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC0D2BDC009	0.02	0.01
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC05F111D21	0.06	0.023
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC05B2AA866	0.576	0.253
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC0F73E9099	3.324	1.208
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC0BC63F8C0	12.694	3.709
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0672FBD31	1.566	0.587
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0545E2502	0.697	0.242
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC006E22794	8.243	3.577
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC0458F68A5	1.12	0.437
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC09FDA4F45	1.312	0.492
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0F4BC2909	3.591	1.565
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC02AE206BE	2.933	1.303
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC05992FDC8	0.376	0.161
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC069F95780	0.074	0.034
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC0DAD29856	0.464	0.128
COL8A1	P27658	False	CO8A1_HUMAN		CPI-SC02F06FF62	0.373	0.177
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC0F8D27FBC	0.234	0.11
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC0EA3FC100	1.219	0.574
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC07FB88720	0.012	0.003
